player_id,player_name,game_id,date,competition_id,competition_name,competition_family,season,round,goals,minutes_played,team_goals,opponent_goals,outcome,home_club_name,away_club_name,source_id,source_url,source_granularity
messi,Lionel Messi,2244378,2012-08-19,ES1,laliga,national_league,2012,1. Matchday,2,90,5,1,W,FC Barcelona,Real Sociedad,dcaribou_transfermarkt_dataset,https://github.com/dcaribou/transfermarkt-datasets,appearance
cristiano,Cristiano Ronaldo,2244382,2012-08-19,ES1,laliga,national_league,2012,1. Matchday,0,90,1,1,D,Real Madrid,Valencia CF,dcaribou_transfermarkt_dataset,https://github.com/dcaribou/transfermarkt-datasets,appearance
messi,Lionel Messi,2244388,2012-08-22,SUC,supercopa,domestic_super_cup,2012,final 1st leg,1,90,3,2,W,FC Barcelona,Real Madrid,dcaribou_transfermarkt_dataset,https://github.com/dcaribou/transfermarkt-datasets,appearance
cristiano,Cristiano Ronaldo,2244388,2012-08-22,SUC,supercopa,domestic_super_cup,2012,final 1st leg,1,90,2,3,L,FC Barcelona,Real Madrid,dcaribou_transfermarkt_dataset,https://github.com/dcaribou/transfermarkt-datasets,appearance
messi,Lionel Messi,2242828,2012-08-26,ES1,laliga,national_league,2012,2. Matchday,2,90,2,1,W,CA Osasuna,FC Barcelona,dcaribou_transfermarkt_dataset,https://github.com/dcaribou/transfermarkt-datasets,appearance
cristiano,Cristiano Ronaldo,2242834,2012-08-26,ES1,laliga,national_league,2012,2. Matchday,0,90,1,2,L,Getafe CF,Real Madrid,dcaribou_transfermarkt_dataset,https://github.com/dcaribou/transfermarkt-datasets,appearance
messi,Lionel Messi,2244389,2012-08-29,SUC,supercopa,domestic_super_cup,2012,final 2nd leg,1,90,1,2,L,Real Madrid,FC Barcelona,dcaribou_transfermarkt_dataset,https://github.com/dcaribou/transfermarkt-datasets,appearance
cristiano,Cristiano Ronaldo,2244389,2012-08-29,SUC,supercopa,domestic_super_cup,2012,final 2nd leg,1,90,2,1,W,Real Madrid,FC Barcelona,dcaribou_transfermarkt_dataset,https://github.com/dcaribou/transfermarkt-datasets,appearance
messi,Lionel Messi,2242881,2012-09-02,ES1,laliga,national_league,2012,3. Matchday,0,90,1,0,W,FC Barcelona,Valencia CF,dcaribou_transfermarkt_dataset,https://github.com/dcaribou/transfermarkt-datasets,appearance
cristiano,Cristiano Ronaldo,2242882,2012-09-02,ES1,laliga,national_league,2012,3. Matchday,2,63,3,0,W,Real Madrid,Granada CF,dcaribou_transfermarkt_dataset,https://github.com/dcaribou/transfermarkt-datasets,appearance
messi,Lionel Messi,2242910,2012-09-15,ES1,laliga,national_league,2012,4. Matchday,2,32,4,1,W,Getafe CF,FC Barcelona,dcaribou_transfermarkt_dataset,https://github.com/dcaribou/transfermarkt-datasets,appearance
cristiano,Cristiano Ronaldo,2242922,2012-09-15,ES1,laliga,national_league,2012,4. Matchday,0,90,0,1,L,Sevilla FC,Real Madrid,dcaribou_transfermarkt_dataset,https://github.com/dcaribou/transfermarkt-datasets,appearance
cristiano,Cristiano Ronaldo,2262153,2012-09-18,CL,uefa-champions-league,continental_federation_cup,2012,Group D,1,90,3,2,W,Real Madrid,Manchester City,dcaribou_transfermarkt_dataset,https://github.com/dcaribou/transfermarkt-datasets,appearance
messi,Lionel Messi,2262160,2012-09-19,CL,uefa-champions-league,continental_federation_cup,2012,Group G,2,90,3,2,W,FC Barcelona,FK Spartak Moskva,dcaribou_transfermarkt_dataset,https://github.com/dcaribou/transfermarkt-datasets,appearance
messi,Lionel Messi,2242904,2012-09-22,ES1,laliga,national_league,2012,5. Matchday,0,90,2,0,W,FC Barcelona,Granada CF,dcaribou_transfermarkt_dataset,https://github.com/dcaribou/transfermarkt-datasets,appearance
